編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTOMLMKKILFFFL56CC,29,556.53,見其他登記事項,鋼筋混凝土造,76年9月15日,四層,
RPPNMLNKKILFFHL98CC,16,359.40,見其他登記事項,鋼筋混凝土造,89年6月2日,三層,
RPRNMLOKKILFFHL66CC,23,246.07,見其他登記事項,鋼筋混凝土造,83年3月4日,四層,
RPOOMLQKKILFFGL56CC,11,282.55,見其他登記事項,鋼筋混凝土造,95年1月18日,五層,
RPTOMLQKKILFFGL07CC,11,282.54,見其他登記事項,鋼筋混凝土造,95年1月18日,五層,
RPSNMLRKKILFFAL98CC,5,415.34,見其他登記事項,鋼筋混凝土造,100年12月28日,四層,
RPVNMLKLKILFFFL56CC,13,189.81,見其他登記事項,鋼筋混凝土造,93年2月9日,四層,
RPRNMLNLKILFFIL86DC,2,217.50,住家用,鋼筋混凝土造,104年2月25日,四層,
RPOQMLNJJHMFFAB27CC,48,66.86,見其他登記事項,見其他登記事項,58年2月7日,二層,
RPVNMLNJJHMFFCB87CC,20,129.78,見其他登記事項,鋼筋混凝土造,86年3月27日,十三層,
RPSOMLNJJHMFFCB67CC,3,382.70,見其他登記事項,鋼骨鋼筋混凝土造,103年4月3日,三十六層,
RPSOMLNJJHMFFCB67CC,3,114.11,見其他登記事項,鋼骨鋼筋混凝土造,103年4月3日,三十六層,
RPSOMLNJJHMFFCB67CC,3,202.42,見其他登記事項,鋼骨鋼筋混凝土造,103年4月3日,三十六層,
RPOPMLNJJHMFFCB37CC,7,166.06,見其他登記事項,鋼筋混凝土造,99年1月20日,十二層,
RPOPMLNJJHMFFCB37CC,7,14.81,見其他登記事項,鋼筋混凝土造,99年1月20日,十二層,
RPOPMLNJJHMFFCB37CC,7,48.99,見其他登記事項,鋼筋混凝土造,99年1月20日,十二層,
RPWPMLNJJHMFFBB08CC,23,29.09,住家用,鋼筋混凝土造,82年10月28日,七層,
RPWPMLNJJHMFFBB08CC,23,9.01,共有部份,鋼筋混凝土造,82年10月28日,七層,
RPPQMLNJJHMFFBB47CC,27,39.48,住家用,鋼筋混凝土造,79年6月20日,七層,
RPXOMLNJJHMFFCB28DC,22,77.46,見其他登記事項,鋼筋混凝土造,84年4月14日,四層,
RPSOMLNJJHMFFBB67DC,37,70.78,商業用,鋼筋混凝土造,68年12月11日,五層,
RPVPMLOJJHMFFBB08CC,11,48.56,住家用,鋼筋混凝土造,94年12月8日,十八層,
RPVPMLOJJHMFFBB08CC,11,47.42,共有部份,鋼筋混凝土造,94年12月8日,十八層,
RPTQMLOJJHMFFBB97CC,11,47.39,住家用,鋼筋混凝土造,94年12月8日,十八層,
RPTQMLOJJHMFFBB97CC,11,66.82,共有部份,鋼筋混凝土造,94年12月8日,十八層,
RPUQMLOJJHMFFBB08CC,11,31.88,共有部份,鋼筋混凝土造,94年12月8日,十八層,
RPROMLOJJHMFFCB67CC,7,60.79,住家用,鋼筋混凝土造,99年2月1日,十二層,
RPROMLOJJHMFFCB67CC,7,22.39,見其他登記事項,鋼筋混凝土造,99年2月1日,十二層,
RPROMLOJJHMFFCB67CC,7,8.30,見其他登記事項,鋼筋混凝土造,99年2月1日,十二層,
RPPPMLOJJHMFFCB57CC,1,148.65,見其他登記事項,鋼筋混凝土造,104年10月8日,二十五層,
RPPPMLOJJHMFFCB57CC,1,98.56,見其他登記事項,鋼筋混凝土造,104年10月8日,二十五層,
RPSPMLOJJHMFFCB87CC,22,99.56,商業用,鋼筋混凝土造,83年9月23日,十七層,
RPSPMLOJJHMFFCB87CC,22,27.22,共有部分,鋼筋混凝土造,83年9月23日,十七層,
RPXPMLOJJHMFFCB38CC,22,100.64,住家用,鋼筋混凝土造,83年7月23日,十六層,
RPXPMLOJJHMFFCB38CC,22,32.03,共有部分,鋼筋混凝土造,83年7月23日,十六層,
RPUQMLOJJHMFFCB18CC,10,55.69,住家用,鋼筋混凝土造,96年3月13日,十五層,
RPUQMLOJJHMFFCB18CC,10,46.66,見其他登記事項,鋼筋混凝土造,96年3月13日,十五層,
RPSRMLOJJHMFFCB08CC,7,35.91,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPVNMLOJJHMFFAB77CC,21,23.85,見其他登記事項,鋼骨鋼筋混凝土造,85年1月19日,二十二層,
RPVNMLOJJHMFFAB77CC,21,2.24,見其他登記事項,鋼骨鋼筋混凝土造,85年1月19日,二十二層,
RPVNMLOJJHMFFAB77CC,21,2.49,見其他登記事項,鋼骨鋼筋混凝土造,85年1月19日,二十二層,
RPVNMLOJJHMFFAB77CC,21,6.61,見其他登記事項,鋼骨鋼筋混凝土造,85年1月19日,二十二層,
RPVNMLOJJHMFFAB77CC,21,8.17,見其他登記事項,鋼骨鋼筋混凝土造,85年1月19日,二十二層,
RPVNMLOJJHMFFCL98CC,21,88.17,住家用,鋼筋混凝土造,84年7月11日,八層,
RPSNMLPJJHMFFAB57CC,23,123.05,住商用,鋼筋混凝土造,83年5月25日,七層,
RPQOMLPJJHMFFCB67CC,17,2096.80,見其他登記事項,鋼筋混凝土造,88年6月1日,三層,
RPQPMLPJJHMFFCB77CC,12,68.49,住家用,鋼筋混凝土造,94年2月15日,十三層,
RPRPMLPJJHMFFBB77CC,35,87.24,住家用,鋼筋混凝土造,70年9月9日,五層,
RPOPMLPJJHMFFCB67DC,29,260.38,見其他登記事項,鋼筋混凝土造,76年11月10日,四層,
RPSNMLQJJHMFFHL76CC,1,83.47,見其他登記事項,鋼筋混凝土造,104年9月15日,十四層,
RPSNMLQJJHMFFHL76CC,1,67.92,見其他登記事項,鋼筋混凝土造,104年9月15日,十四層,
RPSPMLQJJHMFFAB97DC,45,201.67,商業用,加強磚造,61年1月26日,三層,
RPUOMLQJJHMFFBB08CC,10,70.50,住家用,鋼筋混凝土造,95年12月25日,十四層,
RPVPMLQJJHMFFBB28CC,22,82.15,住家用,鋼筋混凝土造,84年4月15日,二十六層,
RPVPMLQJJHMFFBB28CC,22,13.23,共有部份,鋼骨鋼筋混凝土造,84年4月15日,二十六層,
RPVPMLQJJHMFFBB28CC,22,15.08,共有部份,鋼骨鋼筋混凝土造,84年4月15日,二十六層,
RPTNMLQJJHMFFCB97CC,20,155.53,見其他登記事項,鋼筋混凝土造,85年12月18日,三層,
RPOPMLQJJHMFFCB67CC,4,157.94,住家用,鋼筋混凝土造,101年10月18日,十五層,
RPOPMLQJJHMFFCB67CC,4,44.58,見其他登記事項,鋼筋混凝土造,101年10月18日,十五層,
RPOPMLQJJHMFFCB67CC,4,72.05,見其他登記事項,鋼筋混凝土造,101年10月18日,十五層,
RPPPMLQJJHMFFCB77CC,10,26.73,住家用,鋼筋混凝土造,95年11月24日,十四層,
RPPPMLQJJHMFFCB77CC,10,12.02,見其他登記事項,鋼筋混凝土造,95年11月24日,十四層,
RPQPMLQJJHMFFCB87CC,7,48.91,住家用,鋼筋混凝土造,99年2月1日,十一層,
RPQPMLQJJHMFFCB87CC,7,18.05,見其他登記事項,鋼筋混凝土造,99年2月1日,十二層,
RPQPMLQJJHMFFCB87CC,7,6.73,見其他登記事項,鋼筋混凝土造,99年2月1日,十二層,
RPSPMLQJJHMFFCB08CC,10,61.00,住家用,鋼筋混凝土造,95年8月16日,二十二層,
RPSPMLQJJHMFFCB08CC,10,23.61,見其他登記事項,鋼筋混凝土造,95年8月16日,二十二層,
RPUPMLQJJHMFFCB28CC,19,96.63,住家用,鋼筋混凝土造,86年10月20日,十四層,
RPUPMLQJJHMFFCB28CC,19,56.70,共有部分,鋼筋混凝土造,86年10月20日,十四層,
RPVNMLQJJHMFFAB97CC,22,23.14,住家用,鋼筋混凝土造,84年1月13日,十九層,
RPVNMLQJJHMFFAB97CC,22,3.57,共有部份,鋼筋混凝土造,84年1月13日,十九層,
RPVNMLQJJHMFFAB97CC,22,8.76,見其他登記事項,鋼筋混凝土造,84年1月13日,十九層,
RPXNMLQJJHMFFAB18CC,23,42.46,見其他登記事項,鋼筋混凝土造,83年5月26日,十三層,
RPXNMLQJJHMFFAB18CC,23,9.56,見其他登記事項,鋼筋混凝土造,83年5月26日,十三層,
RPSNMLQJJHMFFAL68CC,1,1384.92,見其他登記事項,見其他登記事項,105年4月25日,一層,
RPSNMLSJJHMFFAB87CC,32,149.99,住商用,鋼筋混凝土造,73年8月23日,十三層,
RPSNMLSJJHMFFAB87CC,32,122.90,住商用,鋼筋混凝土造,73年8月23日,十三層,
RPXNMLTJJHMFFAB48CC,10,66.76,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,
RPXNMLTJJHMFFAB48CC,10,14.09,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,
RPXNMLTJJHMFFAB48CC,10,10.01,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,
RPOQMLTJJHMFFAB87CC,31,109.31,住商用,加強磚造,75年6月23日,二層,
RPSNMLTJJHMFFCL56CC,7,484.41,住家用,見其他登記事項,98年8月20日,五層,
RPQOMLTJJHMFFCB08CC,45,99.14,住家用,加強磚造,61年5月1日,二層,
RPSOMLTJJHMFFCB28CC,6,182.91,見其他登記事項,鋼筋混凝土造,99年11月4日,十二層,
RPVPMLTJJHMFFCB68CC,33,175.04,住商用,鋼筋混凝土造,73年2月16日,三層,
RPVNMLTJJHMFFBB38CC,1,172.98,見其它登記事項,鋼筋混凝土造,104年11月3日,十二層,
RPWOMLTJJHMFFBB58CC,31,353.17,住商用,鋼筋混凝土造,74年6月25日,五層,
RPPOMLTJJHMFFAB87DC,28,138.24,商業用,鋼造,78年6月1日,一層,
RPXPMLKKJHMFFBB97CC,23,28.60,住家用,鋼筋混凝土造,82年10月28日,七層,
RPXPMLKKJHMFFBB97CC,23,8.82,共有部份,鋼筋混凝土造,82年10月28日,七層,
RPOQMLKKJHMFFBB17CC,18,90.72,住家用,鋼筋混凝土造,87年9月14日,十二層,
RPOQMLKKJHMFFBB17CC,18,20.77,共有部份,鋼筋混凝土造,87年9月14日,十二層,
RPOQMLKKJHMFFBB17CC,18,6.38,共有部份,鋼筋混凝土造,87年9月14日,十二層,
RPRQMLKKJHMFFBB47CC,33,71.73,住家用,鋼筋混凝土造,73年4月30日,五層,
RPRQMLKKJHMFFBB47CC,33,6.81,共有部份,鋼筋混凝土造,73年4月30日,五層,
RPRQMLKKJHMFFBB47CC,33,3.23,共有部份,鋼筋混凝土造,73年4月30日,五層,
RPSQMLKKJHMFFBB57CC,23,79.94,住家用,鋼筋混凝土造,82年8月6日,七層,
RPSQMLKKJHMFFBB57CC,23,11.96,共有部份,鋼筋混凝土造,82年8月6日,七層,
RPQRMLKKJHMFFBB47CC,23,187.39,住商用,鋼筋混凝土造,83年4月30日,七層,
RPOOMLKKJHMFFCB07CC,26,182.42,住家用,鋼筋混凝土造,80年4月18日,十八層,
RPOOMLKKJHMFFCB07CC,26,50.78,共有部分,鋼筋混凝土造,80年4月18日,十八層,
RPXOMLKKJHMFFCB97CC,23,99.26,住家用,鋼筋混凝土造,82年12月14日,十四層,
RPXOMLKKJHMFFCB97CC,23,28.97,共有部分,鋼筋混凝土造,82年12月14日,十四層,
RPPPMLKKJHMFFCB27CC,13,85.31,見其他登記事項,見其他登記事項,93年3月30日,十二層,
RPPPMLKKJHMFFCB27CC,13,37.31,見其他登記事項,見其他登記事項,93年3月30日,十二層,
RPPPMLKKJHMFFCB27CC,13,13.99,見其他登記事項,見其他登記事項,93年3月30日,十二層,
RPXOMLKKJHMFFAB77CC,10,83.53,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,
RPXOMLKKJHMFFAB77CC,10,17.62,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,
RPXOMLKKJHMFFAB77CC,10,25.70,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,
RPOOMLLKJHMFFAB96CC,23,246.10,住商用,鋼筋混凝土造,82年9月14日,八層,
RPOOMLLKJHMFFAB96CC,23,57.73,見其他登記事項,鋼筋混凝土造,82年9月14日,八層,
RPPNMLLKJHMFFCB17CC,,12600.89,見其他登記事項,鋼筋混凝土造,105年7月19日,四層,
RPPNMLLKJHMFFCB17CC,,11.81,見其他登記事項,鋼筋混凝土造,105年7月19日,四層,
RPPRMLLKJHMFFBB47CC,4,103.07,住家用,鋼筋混凝土造,102年2月7日,十九層,
RPPRMLLKJHMFFBB47CC,4,77.91,見其它登記事項,鋼筋混凝土造,102年2月7日,十九層,
RPPSMLLKJHMFFBB57CC,25,204.22,住家用,鋼筋混凝土造,80年12月12日,七層,
RPSPMLLKJHMFFBB67DC,21,71.21,住家用,鋼筋混凝土造,84年8月7日,十四層,
RPSPMLLKJHMFFBB67DC,21,15.59,共有部份,鋼筋混凝土造,84年8月7日,十四層,
RPSQMLLKJHMFFBB77DC,9,37.03,住家用,鋼筋混凝土造,96年12月31日,十四層,
RPSQMLLKJHMFFBB77DC,9,17.73,共有部份,鋼筋混凝土造,96年12月31日,十四層,
RPTQMLLKJHMFFBB87DC,22,23.55,住家用,鋼筋混凝土造,83年9月7日,八層,
RPTQMLLKJHMFFBB87DC,22,19.16,共有部份,鋼筋混凝土造,83年9月7日,八層,
RPSPMLLKJHMFFCB77DC,24,43.33,住家用,鋼筋混凝土造,82年1月12日,十六層,
RPSPMLLKJHMFFCB77DC,24,18.98,共有部分,鋼筋混凝土造,82年1月12日,十六層,
RPTOMLMKJHMFFBB77DC,20,56.28,住家用,鋼筋混凝土造,86年6月28日,十五層,
RPTOMLMKJHMFFBB77DC,20,20.12,共有部份,鋼筋混凝土造,86年6月28日,十五層,
RPTOMLMKJHMFFBB77DC,20,7.86,共有部份,鋼筋混凝土造,86年6月28日,十五層,
RPUOMLMKJHMFFBB87DC,11,54.30,住家用,鋼筋混凝土造,94年10月21日,九層,
RPUOMLMKJHMFFBB87DC,11,45.68,共有部份,鋼筋混凝土造,94年10月21日,九層,
RPRNMLMKJHMFFBB37CC,1,86.94,見其它登記事項,鋼筋混凝土造,104年8月20日,三層,
RPSNMLMKJHMFFBB47CC,1,75.48,見其它登記事項,鋼筋混凝土造,104年8月20日,三層,
RPUNMLMKJHMFFBB67CC,1,83.66,見其它登記事項,鋼筋混凝土造,104年8月20日,三層,
RPPOMLMKJHMFFBB27CC,26,321.00,商業用,鋼筋混凝土造,80年1月28日,十二層,
RPPOMLMKJHMFFBB27CC,26,15.81,共有部份,鋼筋混凝土造,80年1月28日,十二層,
RPPOMLMKJHMFFBB27CC,26,43.34,見其它登記事項,鋼筋混凝土造,80年1月28日,十二層,
RPROMLMKJHMFFBB47CC,26,243.66,商業用,鐵造,80年1月23日,一層,
RPQNMLMKJHMFFCB37CC,15,163.00,住家用,鋼筋混凝土造,90年9月12日,二十七層,
RPQNMLMKJHMFFCB37CC,15,76.61,共有部分,鋼筋混凝土造,90年9月12日,二十七層,
RPQNMLMKJHMFFCB37CC,15,14.43,共有部分,鋼筋混凝土造,90年9月12日,二十七層,
RPVNMLMKJHMFFCB87CC,39,278.40,住商用,鋼筋混凝土造,67年2月28日,四層,
RPSPMLMKJHMFFCB77CC,6,46.22,住家用,鋼筋混凝土造,99年11月19日,二十四層,
RPQQMLMKJHMFFCB67CC,23,51.29,住家用,鋼筋混凝土造,83年5月17日,十五層,
RPTNMLMKJHMFFAB47CC,6,45.94,見其他登記事項,鋼筋混凝土造,100年6月3日,十層,
RPTNMLMKJHMFFAB47CC,6,17.46,見其他登記事項,鋼筋混凝土造,100年6月3日,十層,
RPTNMLMKJHMFFAB47CC,6,36.85,見其他登記事項,鋼筋混凝土造,100年6月3日,十層,
RPUNMLMKJHMFFAB57CC,21,26.09,見其他登記事項,鋼骨鋼筋混凝土造,85年1月19日,二十二層,
RPUNMLMKJHMFFAB57CC,21,2.48,見其他登記事項,鋼骨鋼筋混凝土造,85年1月19日,二十二層,
RPUNMLMKJHMFFAB57CC,21,2.77,見其他登記事項,鋼骨鋼筋混凝土造,85年1月19日,二十二層,
RPUNMLMKJHMFFAB57CC,21,7.32,見其他登記事項,鋼骨鋼筋混凝土造,85年1月19日,二十二層,
RPUNMLMKJHMFFAB57CC,21,9.03,見其他登記事項,鋼骨鋼筋混凝土造,85年1月19日,二十二層,
RPTPMLMKJHMFFAB67CC,18,184.96,住商用,鋼筋混凝土造,87年12月19日,九層,
RPTPMLMKJHMFFAB67CC,18,71.96,住商用,鋼筋混凝土造,87年12月19日,九層,
RPSOMLNKJHMFFAB57CC,37,61.29,住家用,鋼筋混凝土造,69年4月10日,五層,
RPRNMLNKJHMFFGL98CC,10,244.80,見其他登記事項,鋼筋混凝土造,95年12月14日,五層,
RPORMLNKJHMFFCB67CC,28,70.94,住家用,鋼筋混凝土造,77年11月10日,二層,
RPORMLNKJHMFFCB67CC,7,33.41,見其他登記事項,鋼筋混凝土造,99年1月12日,二十六層,
RPVRMLNKJHMFFCB38CC,46,47.64,住家用,加強磚造,60年4月5日,二層,
RPVRMLNKJHMFFCB38CC,7,17.53,見其他登記事項,鋼筋混凝土造,99年2月1日,十二層,
RPVRMLNKJHMFFCB38CC,7,6.51,見其他登記事項,鋼筋混凝土造,99年2月1日,十二層,
RPWPMLNKJHMFFBB18CC,36,56.70,住商用,鋼筋混凝土造,69年8月27日,四層,
RPSQMLNKJHMFFBB87CC,3,42.95,住家用,鋼筋混凝土造,102年7月25日,二十二層,
RPSQMLNKJHMFFBB87CC,3,11.52,見其它登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPSQMLNKJHMFFBB87CC,3,22.82,見其它登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPTQMLNKJHMFFBB97CC,3,42.49,住家用,鋼筋混凝土造,102年7月25日,二十二層,
RPTQMLNKJHMFFBB97CC,3,11.38,見其它登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPTQMLNKJHMFFBB97CC,3,22.69,見其它登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPUQMLNKJHMFFBB08CC,3,42.77,住家用,鋼筋混凝土造,102年7月25日,二十二層,
RPUQMLNKJHMFFBB08CC,3,11.45,見其它登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPUQMLNKJHMFFBB08CC,3,36.44,見其它登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPVQMLNKJHMFFBB18CC,3,27.23,見其它登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPWQMLNKJHMFFBB28CC,3,42.49,住家用,鋼筋混凝土造,102年7月25日,二十二層,
RPWQMLNKJHMFFBB28CC,3,11.38,見其它登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPWQMLNKJHMFFBB28CC,3,9.07,見其它登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPXQMLNKJHMFFBB38CC,3,66.96,住家用,鋼筋混凝土造,102年7月25日,二十二層,
RPXQMLNKJHMFFBB38CC,3,18.00,見其它登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPXQMLNKJHMFFBB38CC,3,28.03,見其它登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPORMLNKJHMFFBB57CC,3,67.28,住家用,鋼筋混凝土造,102年7月25日,二十二層,
RPORMLNKJHMFFBB57CC,3,18.07,見其它登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPORMLNKJHMFFBB57CC,3,41.64,見其它登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPPRMLNKJHMFFBB67CC,11,49.46,住家用,鋼筋混凝土造,94年12月8日,十八層,
RPPRMLNKJHMFFBB67CC,11,19.79,共有部份,鋼筋混凝土造,94年12月8日,十八層,
RPQRMLNKJHMFFBB77CC,11,31.88,共有部份,鋼筋混凝土造,94年12月8日,十八層,
RPXOMLNKJHMFFBB28DC,2,148.80,住家用,鋼筋混凝土造,103年10月21日,十四層,
RPPNMLPKJHMFFCB57CC,7,80.79,住家用,鋼筋混凝土造,98年8月13日,二十六層,
RPPNMLPKJHMFFFL88CC,20,40.79,見其他登記事項,鋼筋混凝土造,86年3月31日,四層,
